"HolderAddress","Balance","PendingBalanceUpdate"
"0x1a146f6a10ec0e6561ef9e56ddb8d181881b3481","7,467,577,453.278933299946307741","No"
"0xf72adec5e8d006f28600d3cd70417c3e5c33198c","2,287,947,275.609601898946891019","No"
"0xcf8916f41e6dfefee48b83ff73fa83a03be788d6","2,199,000,000","No"
"0x1421cf03921a81f275ff8d0c3a1af59c17f6f7a8","2,134,698,584.01594694066279661","No"
"0xd45024e3fc67dfaa456e111204950d510bd44b9b","286,243,720.576414367139531073","No"
"0x28816c4c4792467390c90e5b426f198570e29307","101,000,000","No"
"0x0d0707963952f2fba59dd06f2b425ace40b492fe","50,000,000","No"
"0x4982085c9e2f89f2ecb8131eca71afad896e89cb","50,000,000","No"
"0xb1256d6b31e4ae87da1d56e5890c66be7f1c038e","50,000,000","No"
"0xcd5f3c15120a1021155174719ec5fcf2c75adf5b","50,000,000","No"
"0xf89d7b9c864f589bbf53a82105107622b35eaa40","50,000,000","No"
"0x1ab4973a48dc892cd9971ece8e01dcc7688f8f23","50,000,000","No"
"0x3b5a23f6207d87b423c6789d2625ea620423b32d","50,000,000","No"
"0xf77b4feb8e73d9e62cc3a797da11842201ec7183","10,303,317.697276086153427359","No"
"0xd47044bbf35c26f419404794a67516a7c53ca549","10,000,000","No"
"0x410406fd49890b04d6deb649f97dd760f8200e5d","6,632,017.925675464149022598","No"
"0xa9a069274530710a09ece333ccada3bce6c9f208","5,249,475","No"
"0x625b02b687ec38f3085af5b108dda410775fa76a","5,000,000","No"
"0x7563758243a262e96880f178aee7817dcf47ab0f","5,000,000","No"
"0x5346d3f59837d8ff2c5e975b064b9f765d2a46eb","1,150,000","No"
"0x518d9643160cfd6fe469bfbd3ba66fc8035a68a3","1,132,800.978192652916178486","No"
"0xb21a7d6b07ad608202c5c057031a034bf4166b38","1,080,127.529124402448794327","No"
"0x8a4677864d85ee4c10515ec5459a1e307b361f53","1,000,000","No"
"0x1fc4ccf414f34fbdbd7718e0435c2d9e0a0c2e5d","899,550.224887556221889055","No"
"0x04cd0e3b1009e8ffd9527d0591c7952d92988d0f","866,455.00424524183198686","No"
"0xfda4a27aa1dd8e7ea76f28acc16b52c3f006f682","700,000","No"
"0x1f2757ae513e182f4ec7f7faf3d9df0f9d30088d","511,647.356834284196286396","No"
"0x10153f49b73e6f2eb79425360b9cc446298de22f","509,949","No"
"0x55e589103d2265a839d748b46281cd94bddb2bd0","500,000","No"
"0x9b115bf6f6936fd00d6a285734cbd3f71549ec49","500,000","No"
"0xdf19b8e52dc626e6e54dae7a1e6081ba6d866dc6","350,000","No"
"0xdd3cb5c974601bc3974d908ea4a86020f9999e0c","340,000","No"
"0x623b09db26f1143080e26eacd239e4d5e41f92b4","310,468","No"
"0xeac8cb4015dc462c13c1e03d35fc5b3c59192ed9","300,000","No"
"0x9bea5cb6cbdd6737b73a654e704be08bd8164f46","300,000","No"
"0x69fa5f9eed6567bf1217c51572b6108353f7b282","300,000","No"
"0x32d49d9a4f647a1f0e4a21b4c95f1b82d276901b","300,000","No"
"0x865a52c2c2ed63f978c21ebba8a186f04c2d554a","279,977","No"
"0xad3ea936e922094a2535427bf153ae8befaf0102","259,994","No"
"0xe4d8d4ef6580d05bce3f1de9d320d2649fbdd20c","250,000","No"
"0xc4aeea5a092888fcacbd4775358c345955aff17f","250,000","No"
"0x1ce9476510c9a853effad9b13bc8d06cf3b5431d","250,000","No"
"0xfbdb4ef967cb1258ec4185a761fbaa2b4618a0ab","250,000","No"
"0xfff29e6920a82055cdbae34539b70f60a78d4d94","236,765.321719799410152723","No"
"0xbc4b7fa097b88a49a03428a8d4a4bcfbc8ad3424","200,115","No"
"0x449e90788bf4a9241f1f8c7681e9fe6854261482","200,000","No"
"0xe84c0b22cd43005332bcfdb6ff36a48d2030f666","200,000","No"
"0x73ca589af206fdf0460a0e09835ab549ccf3eed3","200,000","No"
"0x9f7899a4f264b57a11fde96ef6e6d120e22912c2","200,000","No"
"0x3a34647cdfad7ec0bb3a8470ed9491800e067860","200,000","No"
"0x032f18c6f36dba88d0f26ed5f1f4a36bb15a36e8","200,000","No"
"0x138170b6e83385593aeea23bc11db834b83a5f40","200,000","No"
"0x4b50bc42b902acfa5048665c5185b69e59feefbe","200,000","No"
"0x5107ac12ef43e9401693ee6abecd609a59adca13","200,000","No"
"0x17e848795e05a02f70ff746fe4f34510d532f632","200,000","No"
"0x8d6db5f7319b068d5fe81d5ed97ac77a5dd62420","200,000","No"
"0x9f8b0da1fc35b8152990ec848d4167c96283fef2","200,000","No"
"0xe32cd7a142113930c9238cd1a8f6b321a16b954c","200,000","No"
"0x1c7395f4c0322a2b928f94cdb660824242944f56","200,000","No"
"0x2238f6cde9304260c32f1eb1d1a72b087fa913d7","200,000","No"
"0x426603bac5e0ea73fd13aecad7a80c9f963f6eac","198,930.441242250237219053","No"
"0xddca2cc6d549ab0a61186b54d57b58e45fa0c682","197,583.065243044909487355","No"
"0xd4450dc472c8e4cc143535f7f55c0a978c6ef0f9","190,168.442651600672007771","No"
"0xe2546928171d560e15219327cbf85f16a3458b8b","179,469.814406730911741081","No"
"0xd5bcda108da471d492d016bb999ca39da579548f","178,338","No"
"0xe9bb2ba3cdfa0724669c8eec13a24482a3f2b318","163,339","No"
"0x65389f8670eae37ff039b27657127fe9af2fed1d","155,000","No"
"0xb83b21ec401c9fedacba9061fd1ac442f4ca122e","150,125","No"
"0xcc5217ae5449a93b75b8ba85c654d8fe81431d52","150,115","No"
"0x3e2f35acccc7a67111c770fb42e9162b1286a5b8","150,055","No"
"0x33505d6b89a16d177d8a401cbf2076c726b26537","150,005","No"
"0x861bce071131f87d5578dc896e72506c929b441d","150,000","No"
"0x1c469c782892c3a87297e72973e592be2f5b80b0","150,000","No"
"0x73e30a1c4310393ce42e293a22555189882f3645","150,000","No"
