"HolderAddress","Balance","PendingBalanceUpdate"
"0x40ebc1ac8d4fedd2e144b75fe9c0420be82750c6","1,000,000,000","No"
"0x3304e22ddaa22bcdc5fca2269b418046ae7b566a","1,000,000,000","No"
"0x97b9d2102a9a65a26e1ee82d59e42d1b73b68689","1,000,000,000","No"
"0xd6216fc19db775df9774a6e33526131da7d19a2c","1,000,000,000","No"
"0x4e3ae00e8323558fa5cac04b152238924aa31b60","1,000,000,000","No"
"0x0d0707963952f2fba59dd06f2b425ace40b492fe","1,000,000,000","No"
"0x000000000000000000000000000000000000dead","1,000,000,000","No"
"0x1985ea6e9c68e1c272d8209f3b478ac2fdb25c87","1,000,000,000","No"
"0x388a972ec40df8e6d27b1dbd7ba75c023d49c506","999,917,456.62902021243687353","No"
"0x1c6aa145f456339c591f7827257c8dc21d9c3edf","999,776,478.618326434699215032","No"
"0xa68c6cb74c6a50c9f37deab88ae97b8b848e105c","984,673,564.809081011360299999","No"
"0xd45024e3fc67dfaa456e111204950d510bd44b9b","980,276,745.185503773715753642","No"
"0x0178478a585f9788cbf00dd16191de076bcd6882","959,986,888.158643112583919291","No"
"0x1421cf03921a81f275ff8d0c3a1af59c17f6f7a8","500,000,000","No"
"0x830b1ecc62214e0ca639e70ee38990af30c78081","500,000,000","No"
"0x8e7fe04f64d44e4fff4485be177b8fd76f5fe376","47,619,047.61904762","No"
"0x9680d98de7ae2171f41f46ef56a408b805dd06d6","11,078,443.816039249025237335","No"
"0xd984a710568c3884cac2d582e5d3117cfe65ff55","2,489,969.280030009908053193","No"
"0x1b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c","500,000","No"
"0x3d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e","500,000","No"
"0x5f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a","500,000","No"
"0x7b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c","500,000","No"
"0x9d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e","500,000","No"
"0xbf4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a","500,000","No"
